Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue1_1,JailerGirl,好感度示範(這樣就是獄卒+10),normal,,,,,,Affinity_10,bg_jail,,Bgm_Story1
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,,normal,,,,,,,,,
,JailerGirl,好感度示範(這樣就是獄卒+10),normal,,,,,,Affinity_19,,,
,JailerGirl,好感度示範(這樣就是獄卒+10),normal,,,,,,Affinity_20,,,
END,,,,,,,,,,,,
