Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_JailerGirl_12,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1,
,,火光微微晃動，旁邊一個嬌小的身影默默盯著火苗。,,,,,,,,,,,
,JailerGirl,......。,normal,Center,,,,,,,,,
,Hero,發什麼呆呢?,,,,,,,,,,,
,JailerGirl,!?,scare,,,,,jump,,,,,
,JailerGirl,沒...沒事...,normal,,,,,,,,,,
,JailerGirl,只是想到家鄉的家人不知道怎麼樣了...,sad,,,,,,,,,,
,Choose,,,,也是...這些怪物也不見得只出現在這。|沒事！出去就能立刻去那邊確認！,SOSO|NICE,,,,,,,
,JailerGirl,嗚...嗚嗚...,sad,,,,,,,,SOSO,,
,Hero,我也只是假設啦！別哭了...,,,,,,,,,,,
,,你慌忙解釋然而並沒有什麼用。,,,,,,,,,,,
,JailerGirl,我也沒辦法做什麼...,sad,,,,,,,,,,
,JailerGirl,不會魔法...還這麼沒用...,sad,,,,,,,,,,
,,雫好像開啟了自卑開關。,,,,,,,,,,,
,,情況不對需要轉移下話題。,,,,HOME,,,,,,,
,JailerGirl,可是我就算到了也不能做什麼...,sad,,,,,,,,NICE,,
,Hero,我會陪你的！,,,,,,,,,,,
,JailerGirl,！！,shy,,,,,,Affinity_20,,,,
,JailerGirl,真...真的嗎?,happy,,,,,jump,,,,,
,Hero,當然畢竟我也沒什麼事做。,,,,HOME,,,,,,,
,Hero,話說你家在哪?,,,,,,,,,HOME,,
,JailerGirl,我...我家在一個叫真心鎮的小鎮。,normal,,,,,,,,,,
,Hero,那邊有什麼特色嗎?,,,,,,,,,,,
,JailerGirl,特...特色?,normal,,,,,,,,,,
,JailerGirl,那邊就只是一個普通的小鎮。,normal,,,,,,,,,,
,JailerGirl,啊！,happy,,,,,jump,,,,,
,JailerGirl,有一個親切爺爺叫大水博士。,normal,,,,,,,,,,
,JailerGirl,他會把訓服的魔獸當鎮上小朋友十歲的生日禮物。,normal,,,,,,,,,,
,Hero,魔獸?,,,,,,,,,,,
,JailerGirl,嗯！我那時是拿到一隻會發電的老鼠。,happy,,,,,,,,,,
,JailerGirl,只是我覺得魔獸很可怕就退回去了...,shy,,,,,,,,,,
,Hero,聽起來你鎮上應該不怕這些魔獸才對...,,,,,,,,,,,
,Hero,反而該說進貨了...,,,,,,,,,,,
,JailerGirl,那時還很流行魔獸對戰。,happy,,,,,jump,,,,,
,JailerGirl,只是我沒有魔獸，所以大家都不找我玩...,sad,,,,,,,,,,
,Choose,,,,真是奇怪的小鎮。|妳應該很喜歡自己家鄉。,Bad|Good,,,,,,,
,JailerGirl,是...是有一點...,shy,,,,,,,,Bad,,
,JailerGirl,但那邊的人都很親切，遇到困難都會幫我...,happy,,,,,,,,,,
,,稍微聊了一下讓雫心情好了一點。,,,,,,,,,,,
END,,,,,,,,,,,,,
,JailerGirl,嗯...,shy,,,,,jump,Affinity_30,,Good,,
,JailerGirl,那邊雖然有點奇怪...但整體來說是開心的...,normal,,,,,,,,,,
,Hero,這樣讓我很想過去看看。,,,,,,,,,,,
,Hero,回去時記得帶上上我！,,,,,,,,,,,
,JailerGirl,好...,shy,,,,,,,,,,
,,與雫約定了一起回去她的家鄉。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
