Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_witch_1,,<東側監獄走廊後段>,,,,,,,,bg_jail,,Bgm_Story1,
,Hero,哇...四處都是怪物...,,,,,,,,,,,
,Hero,賽蕾絲小姐你知道位什麼會這樣嗎?,,,,,,,,,,,
,Witch,嗯?,normal,,,,,,,,,,
,Witch,火球術！,angry,,,,,,,,,,
,Hero,呀！,,,,,,,,,,,
,,一團火球從我頭旁飛過命中準備偷襲的怪物。,,,,,,,,,,,
,,然而左臉依舊殘留灼熱的氣息。,,,,,,,,,,,
,Hero,呼...嚇死我了...,,,,,,,,,,,
,Witch,抱歉少年...事情緊急...,normal,,,,,,,,,,
,Choose,,,,沒事...我不在意...|可惡...等我變強就換我保護你們了！,Normal|Good,,,,,,,
,Witch,少年沒事吧?,sad,,,,,,,,Normal,,
,Hero,完全沒事！而且你也不是故意的。,,,,,,,,,,,
,Witch,心胸真寬大呢♪,happy,,,,,,Affinity_10,,,,
,Hero,哈...哈哈...也沒有啦...,,,,,,,,,,,
,,劫後餘生的釋放感讓你不禁到吸一口涼氣。,,,,,,,,,,,
END,,,,,,,,,,,,,
,Witch,啊啦♪逞強的樣子真可愛呢♡,happy,,,,,,Affinity_20,,Good,,
,Hero,我是認真的！等我把這個完成...,,,,,,,,,,,
,,將裝置拿出來擦拭。,,,,,,,,,,,
,Witch,哼嗯?這真的有這麼厲害?,normal,,,,,,,,,,
,Hero,不是我自誇，這可以說是這世紀最偉大的發明！,,,,,,,,,,,
,Witch,那我就拭目以待囉♪,happy,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
