Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_witch_11,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,,篝火旁的賽蕾絲似乎有點無聊去找她聊天好了。,,,,,,,,,,
,Hero,哈囉~,,,,,,,,,,
,Witch,嗯?,normal,Center,,,,,,,,
,Witch,怎麼了嗎少年?,normal,,,,,,,,,
,Hero,沒什麼...看你有些無聊想說和你聊個天。,,,,,,,,,,
,Witch,呵~真貼心呢♪,happy,,,,,,,,,
,Witch,那你說個話題吧♪,happy,,,,,,,,,
,Hero,為什麼你會被關進來?,,,,,,,,,,
,Witch,嗯...因為我接觸了禁忌的魔法。,normal,,,,,,,,,
,Hero,禁忌魔法?,,,,,,,,,,
,Choose,,,,那是什麼?|聽起來好邪惡！,what|evil,,,,,,
,Witch,啊♪你是魔法小白可能不清楚呢。,normal,,,,,jump,,,what,
,Hero,抱歉...我太無知了...,,,,,,,,,,
,Witch,呵♪有求知慾是好事！,happy,,,Next,,,Affinity_20,,,
,Witch,嗯?看你怎麼解釋吧...,sad,,,,,,,,evil,
,,賽蕾絲心情似乎低落了不少。,,,,Next,,,,,,
,Witch,禁忌魔法是由魔法局認定的相關研究。,normal,,,,,,,,Next,
,Hero,魔法局?,,,,,,,,,,
,Witch,沒錯！是專門管理魔法的機構。,normal,,,,,,,,,
,Witch,我曾經擔任過局長呢！,happy,,,,,jump,,,,
,Choose,,,,不愧是世紀大魔女！|你沒用職權掩蓋罪刑嗎?,Good|Bad,,,,,,
,Witch,呵呵♪但都是以前的事了。,happy,,,,,,Affinity_10,,Good,
,Hero,富婆求包養！,,,,,,,,,,
,Witch,好呀♪去撿吧！,happy,,,,,jump,,,,
,,賽蕾絲向不遠處拋出了10金幣。,,,,,,,,,,
,Choose,,,,撿。|不撿。,DOG|QQ,,,,,,
,Hero,汪汪！,,,,,,,MoneyAdd_10,,DOG,
,Witch,呵♪,happy,,,,,,Affinity_20,,,
,,與賽蕾絲在一陣嬉鬧中度過了這段時光。,,,,,,,,,,
END,,,,,,,,,,,,
,Hero,我可是不會為五斗米折腰！,,,,,,,,,QQ,
,Witch,真可惜呢♪,happy,,,,,,Affinity_10,,,
,Witch,如果你現在撿起來還能再多給20金幣喔♪,normal,,,,,,,,,
,Hero,可...可惡...有點心動！,,,,,,,,,,
,Hero,ˇ但還是不要！,,,,,,,,,,
,,與賽蕾絲度過了一段愉快的時間。,,,,,,,,,,
END,,,,,,,,,,,,
,Witch,少年...這是不可取的喔...,angry,,,,,,,,Bad,
,Witch,禁忌之所以是禁忌，就是有不能這樣做的原因。,angry,,,,,,,,,
,Witch,當你理解後果還是執行，就要承擔相對的報應。,sad,,,,,,,,,
,Hero,抱歉...是我思慮不周...,,,,,,,,,,
,,後面的時間賽蕾絲開啟說教模式訓斥著我。,,,,,,,,,,
END,,,,,,,,,,,,
