Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
WitchH_1,,再次進入魔法商店。,,,,,,,,bg_jail,,
,Witch,少年...,normal,Center,,,,,,,,
,Hero,是的?,,,,,,,,,,
,Witch,你...你還是處男吧?,shy,,,,,,,,,
,Hero,你！你怎麼知...當然不是！,,,,,,,,,,
,Witch,哼嗯♪但你的眼神一直黏在我胸部上喔?,shy,,,,,jump,,,,
,Hero,這...這只是剛好瞄到而已,,,,,,,,,,
,Witch,啊啦♪嘴硬的孩子。,happy,,,,,,,,,
,,眼前豐滿的身體不停地刺激我的感官。,,,,,,,,,,
,,那碩大的乳房在我面前不停晃動。,,,,,,,,,,
,Witch,你看下面已經腫成這樣了♪,shy,,,,,,,,,
,Witch,好可憐的樣子，要不...幫你弄出來?,sad,,,,,,,,,
,Hero,可...可以嗎?,,,,,,,,,,
,Witch,嗯♪畢竟不能讓你頂著兇惡猛獸出去亂晃。,happy,,,,,hide,,,,
,,賽蕾絲將我的褲子脫掉。,,,,,,,Spine_WitchH_01.prefab,,,
,,用那對碩大的果實將它包裹住。,,,,,,,,,,
,Witch,嗯♡看不出來還挺大的呢♡,,,,,,,,,,
,Witch,嘿♡嘿♡,,,,,,,SpineSpeed_1.5,,,
,Hero,啊...好軟。,,,,,,,,,,
,Witch,嘿咻♡嘿咻♡,,,,,,,SpineAnim_B,,,
,,隨著雙臂的緊壓這厚實的肉感壓迫著肉棒。,,,,,,,,,,
,Hero,賽蕾絲小姐♡,,,,,,,,,,
,Witch,唉呦~害羞啦?,,,,,,,,,,
,Hero,才...才沒有！,,,,,,,,,,
,Witch,真可愛♡,,,,,,,,,,
,Witch,哼嗯♪接下來要加速囉~,,,,,,,SpineAnim_C,,,
,Witch,嘿~咻♡嘿~咻♡,,,,,,,SpineSpeed_2,,,
,Hero,快...快忍不不住了！,,,,,,,,,,
,Witch,嗯?,,,,,,,,,,
,Witch,快~快射出來♡,,,,,,,,,,
,,隨著動作加劇那柔軟的雙峰不停摩擦著肉棒。,,,,,,,SpineSpeed_3,,,
,Hero,哈啊♡好像快出來了♡,,,,,,,,,,
,Witch,加~油♡加~油♡,,,,,,,,,,
,Witch,呼~,,,,,,,,,,
,Hero,哇啊啊啊！,,,,,shootWhite,,SpineSpeed_1,,,Sfx_Shot
,,隨著賽蕾絲對前端吹了一口氣射了出來。,,,,,,,,,,
,,精液噴向了那美麗的臉以及雙峰中。,,,,,,,,,,
,Witch,啊啦♡舒服嗎?,,,,,,,,,,
,Hero,太舒服了！,,,,,,,,,,
,,眼前乳溝夾著我的肉棒並沾滿精液顯得格外色情。,,,,,,,,,,
,Witch,那真是太好了呢♡,,,,,,,,,,
,Hero,對...對不起射到你臉上了...,,,,,,,,,,
,Witch,沒事的♪,,,,,,,,,,
,,賽蕾絲朝著剛射完的龜頭親了一口。,,,,,,,,,,
,,就這樣伴隨著剛射完的餘韻結束了。,,,,,,,Spine_WitchH_01.prefab,,,
,Hero,謝謝，但為什麼對我這麼好?,,,,,,,,,,
,Witch,嗯?也沒什麼。,normal,Center,,,,,,,,
,Witch,只是看到處男會忍不住調戲一下。,happy,,,,,bigCenter,,,,
,Hero,是這樣嗎?,,,,,,,,,,
,Hero,那如果我不是處男還會幫我嗎?,,,,,,,,,,
,Witch,哼嗯...,normal,,,,,bigCenter_Off,,,,
,Witch,只要你能帶來有趣的東西幫幫你也不是不行。,shy,,,,,jump,,,,
,Hero,我一定會努力的！,,,,,,,,,,
,Witch,嗯嗯♪就是這樣~,happy,,,,,jump,,,,
END,,,,,,,,,,,,
