Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
WolfgirlH_1,,進入食材金庫。,,,,,,,,bg_jail,,
,WolfGirl,喔喔！主人！,happy,,,,,jump,,,,
,WolfGirl,其實我們族內還有個古老的儀式。,normal,,,,,,,,,
,,真琴將倉庫門緩緩關上。,,,,,,,,,,
,Hero,嗯?有必要這麼神秘嗎?,,,,,,,,,,
,,這儀式貌似不方便讓人知道的樣子，讓我不由得開始緊張。,,,,,,,,,,
,WolfGirl,我們開始交溝吧！,happy,,,,,jump,,,,
,Hero,蛤?,,,,,,,,,,
,WolfGirl,交配、性交、做愛?你們人族應該是這樣稱呼吧?,normal,,,,,,,,,
,Hero,不是！我是問為什麼?,,,,,,,,,,
,WolfGirl,喔...這是我們主從儀式的最後階段。,normal,,,,,,,,,
,WolfGirl,當敗給雄性時要與對方性交獻上自己。,sad,,,,,,,,,
,Hero,或許我們不用在乎這種陋習?,,,,,,,,,,
,WolfGirl,你...真的不願意嗎?,sad,,,,,,,,,
,,真琴擺弄她豐滿的身材，鍛鍊過的身體更顯得身姿的曼妙。,,,,,,,,,,
,Hero,咕...,,,,,,,,,,
,,我實在是抵擋不住誘惑，俗話說到嘴邊的肉不吃是笨蛋。,,,,,,,,,,
,WolfGirl,主人那我們開始吧！,,,,,,,Spine_WolfgirlH_01.prefab,,,
,,真琴粉嫩的小穴以及碩大的果實就在我的面前。,,,,,,,,,,
,Hero,那我開始了真琴小姐...,,,,,,,,,,
,WolfGirl,叫我真琴就好了。,,,,,,,,,,
,WolfGirl,嗯♡,,,,,,,,,,
,Hero,真琴你身材真好...,,,,,,,SpineSpeed_1.5,,,
,WolfGirl,畢竟有在鍛鍊呢！,,,,,,,,,,
,Hero,那我要開始囉！,,,,,,,SpineAnim_B,,,
,WolfGirl,嗚♡,,,,,,,,,,
,WolfGirl,能清楚感覺到主人的雞雞呢！,,,,,,,,,,
,WolfGirl,哈♡~哈♡~,,,,,,,,,,
,Hero,真琴♡,,,,,,,SpineSpeed_2,,,
,WolfGirl,主人♡再快一點♪,,,,,,,,,,
,WolfGirl,再讓我更深入的了解主人♡嗷嗚！,,,,,,,,,,
,Hero,真琴裡面好緊！,,,,,,,SpineSpeed_3,,,
,Hero,這種被包住的感覺好舒服♡,,,,,,,,,,
,,真琴的小穴非常緊實，如同名器一般。,,,,,,,,,,
,WolfGirl,主人能開心當然最好了！,,,,,,,,,,
,Hero,真琴♡要去了！,,,,,,,,,,
,WolfGirl,就這樣射在裡面♡,,,,,,,,,,
,,真琴單腳一夾我隨即射了出來。,,,,,shootWhite,,SpineSpeed_1,,,Sfx_Shot
,Hero,哈...射了好多...,,,,,,,SpineAnim_C,,,
,Hero,真琴你還好嗎?,,,,,,,,,,
,WolfGirl,裡面都被充滿了呢♡,,,,,,,,,,
,WolfGirl,嗷嗚♡這樣...儀式..就完成了！,,,,,,,,,,
,Hero,是這樣嗎?,,,,,,,,,,
,,真琴的小穴充滿了我的精液看起來格外色情。,,,,,,,Spine_WolfgirlH_01.prefab,,,
,Hero,真琴可不可以再來一次?,,,,,,,,,,
,,才剛開口只見真琴已經穿好衣服。,,,,,,,,,,
,WolfGirl,嗯?,normal,Center,,,,,,,,
,WolfGirl,你精力還真是旺盛呢！,happy,,,,,jump,,,,
,WolfGirl,但是不行~,happy,,,,,bigCenter,,,,
,Hero,蛤?為什麼?,,,,,,,,,,
,Hero,我不是你的主人嗎?,,,,,,,,,,
,WolfGirl,這說到底也只是為了完成儀式。,happy,,,,,,,,,
,WolfGirl,我們偉大的狼人一族只負責戰鬥！,normal,,,,,,,,,
,WolfGirl,日常夜侍奉不在契約裡面。,happy,,,,,,,,,
,WolfGirl,而且我也不是這麼隨便的女人...,shy,,,,,bigCenter_Off,,,,
,,最後真琴小聲嘟囔了什麼沒有聽清楚。,,,,,,,,,,
,Hero,你最後一句是什麼?,,,,,,,,,,
,WolfGirl,啊！？, scare,,,,,,,,,
,WolfGirl,沒！沒有！, scare,,,,,jump,,,,
,WolfGirl,我是說如果你想交溝，就試著讓我迷上你吧！,happy,,,,,,,,,
,Hero,我會努力的！,,,,,,,,,,
,WolfGirl,好啦~再待下去她們就會發現了，我們出去吧！,normal,,,,,,,,,
,WolfGirl,嗷嗚！,happy,,,,,hide,,,,
,,真琴一溜煙地跑了出去。,,,,,,,,,,
END,,,,,,,,,,,,
