Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Prologue3_2,,<監獄廚房>,,,,,,,,bg_jail,,,
,Hero,喔?就是這裡嗎?,,,,,,,,,,,
,,眼前的是個諾大的廚房，大約可容納十個人作業都沒問題。,,,,,,,,,,,
,,廚房的盡頭有個巨大的金庫門。,,,,,,,,,,,
,JailerGirl,沒...沒錯。就是這裡...,normal,Center,,,,jump,,,,,
,JailerGirl,只是...目前沒人在的樣子...,sad,,,,,,,,,,
,Hero,只是好像沒有調理好的料理。,,,,,,,,,,,
,JailerGirl,那邊食材庫好像沒關的樣子...,happy,,,,,,,,,,
,Hero,哇！那我們趕緊看下有什麼吧！,,,,,,,,,,,
,JailerGirl,,normal,,,,,hide,,,,,
,,往前踏出一步隨即被拉住了。,,,,,,,,,,,
,Witch,等一下，裡面有人~,normal,Right,,,,,,,,,
,,話音剛落當作食物倉庫的金庫大門往外打開。,,,,,,,,,,,
,WolfGirl,哎呀！我還以為已經躲得很好了！,sad,Left,,,,jump,,,,,
,Witch,不是你的錯，只是我比較敏感♪,happy,,,,,,,,,,
,WolfGirl,哼?東區的宅女怎麼捨得出門啊?,normal,,,,,,,,,,
,Witch,嗯?畢竟收到了一份特別的委託。,happy,,,,,,,,,,
,,隨即把身後的雫推到前面。,,,,,,,,,,,
,JailerGirl,哇！,scare,Right,,,,,,,,,
,Witch,,happy,,,,,hide,,,,,
,WolfGirl,呦~小不點也在這啊！,happy,,,,,,,,,,
,JailerGirl,真琴小姐...,happy,,,,,,,,,,
,,真琴嗅了嗅空氣。,,,,,,,,,,,
,WolfGirl,嗯?還有一個?,normal,,,,,,,,,,
,Hero,終於輪到我出場了嗎?,,,,,,,,,,,
,WolfGirl,男！男人！？,scare,,,,,,,,,,
,WolfGirl,小不點快來我這邊！男犯人都是很兇惡的！,angry,,,,,,,,,,
,JailerGirl,他...他不是壞人...,sad,,,,,,,,,,
,,說完雫準備上前時我手賤拉了一下害她跌倒了。,,,,,,,,,,,
,JailerGirl,哎呀...,sad,,,,,jump,,,,,
,WolfGirl,你這傢伙！,angry,,,,,run,,,,,
,,真琴朝我衝了過來，在當我以為沒救了眼前一個身影擋在我的前面。,,,,,,,,,,,
,JailerGirl,不...不要！,angry,,,,,jump,,,,,
,WolfGirl,小不點...,sad,,,,,,,,,,
,WolfGirl,你被抓住什麼把柄了嗎！？快過來！,angry,,,,,,,,,,
,JailerGirl,沒...沒有...應該吧?,shy,,,,,,,,,,
,WolfGirl,竟然...是催眠嗎?可惡！,angry,,,,,,,,,,
,JailerGirl,催眠！?,scare,,,,,,,,,,
,JailerGirl,,normal,,,,,hide,,,,,
,WolfGirl,,normal,,,,,hide,,,,,
,Choose,,,,沒錯！看我神奇的催眠術！|我會這種魔法還會被關在這嗎?,Bad|Good,,,,,,,
,WolfGirl,閉嘴！可惡的暴徒！,angry,Center,,,,jump,,,Good,,
,WolfGirl,小不點我現在馬上來解救你！,happy,,,,,,,,,,
,WolfGirl,受死吧！暴徒！,angry,,,,,bigCenter,,,,,
END,,,,,,,,,,,,,
,WolfGirl,我就知道！去死吧暴徒！,angry,Left,,,,run,,,Bad,,
,,我還來不及反應，一陣利爪就割開了我的咽喉。,,,,,shootWhiteOne,,,,,,
,JailerGirl,哇！血止不住怎麼辦?,sad,Right,,,,jump,,,,,
,JailerGirl,嗚嗚嗚嗚...,sad,,,,,,,,,,
,,在彌留之際能看到如此佳人為我難過也是不枉此生了。,,,,,,,,,,,
,JailerGirl,,sad,,,,,hide,,,,,
,Witch,啊啦！有這種魔法也是很有趣呢♪,happy,Center,,,,,,,,,
,Witch,,happy,Center,,,,hide,,,,,
,WolfGirl,難道我搞錯了?,scare,,,,,jump,,,,,
,WolfGirl,抱歉啦~誰叫你這麼不經打。,happy,Center,,,,bigCenter,,,,,
,,最後這根本沒歉意的道歉像壓垮駱駝的最後稻草。,,,,,,,,,,,
,Hero,噗！,,,,,,,,,,,
,,一口鮮血從我嘴中噴出結束了你可悲的一生。,,,,,,,,,,,
DIE,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
