Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue3_3,,<監獄廚房>,,,,,,,,bg_jail,,
,WolfGirl,可惡我竟然輸了嗎?,sad,Center,,,,,,,,
,WolfGirl,要殺要剮悉聽尊便，但希望你能放過小不點一馬...,sad,Center,,,,,,,,
,JailerGirl,真的不是這樣的！,sad,Center,,,,jump,,,,
,JailerGirl,,sad,Center,,,,,,,,
,Witch,啊啦?看來還是要我仔細說明一下。,happy,Right,,,,,,,,
,Witch,,happy,Right,,,,hide,,,,
,WolfGirl,,happy,Right,,,,hide,,,,
,JailerGirl,,happy,Right,,,,hide,,,,
,,一段解釋過後。,,,,,,,,,,
,WolfGirl,原來是這樣...,shy,,,,,,,,,
,Witch,至少從相遇到現在是這樣沒錯~,happy,Right,,,,,,,,
,Witch,,happy,,,,,hide,,,,
,WolfGirl,咕嗚...抱歉了少年...,sad,Center,,,,,,,,
,Hero,沒事啦，誤會解開就好。,,,,,,,,,,
,WolfGirl,自我介紹一下！我叫真琴，是高傲的狼人族！,happy,,,,,,,,,
,WolfGirl,跟小不點認識蠻久的，知道她膽小才會比較激動。,shy,Center,,,,,,,,
,JailerGirl,請你原諒真琴小姐...她人很好的...,sad,Left,,,,,,,,
,Hero,畢竟我人也沒事，就原諒你吧！,,,,,,,,,,
,JailerGirl,,sad,Left,,,,hide,,,,
,WolfGirl,真是感謝你善良的人族！,happy,Center,,,,,,,,
,WolfGirl,但你也算是堂堂正正擊敗了我...哼嗯...,normal,,,,,,,,,
,,眼前的狼女諾有所思的樣子。,,,,,,,,,,
,Hero,阿...我叫{PlayerName}，請多指教！,,,,,,,,,,
,WolfGirl,決定了！,happy,,,,,jump,,,,
,WolfGirl,按照我族古老的盟約。,sad,,,,,,,,,
,WolfGirl,擊敗我的勇士啊！,happy,,,,,bigCenter,,,,
,WolfGirl,從此開始你就是我的主人了！,shy,,,,,,,,,
,Hero,蛤！？,,,,,,,,,,
,WolfGirl,就是字面的意思！,happy,Center,,,,,,,,
,WolfGirl,,happy,Center,,,,bigCenter_Off,,,,
,Witch,嗯...確實狼人族有個習俗...,normal,Right,,,,,,,,
,Witch,只要雄性擊敗雌性狼人族就能擁有她♪,happy,,,,,jump,,,,
,Hero,這也太隨意了吧！,,,,,,,,,,
,Witch,順便一提如果你拒絕她會立刻自刎。,sad,,,,,,,,,
,Witch,,sad,,,,,hide,,,,
,Hero,太極端了吧！,,,,,,,,,,
,JailerGirl,嗚嗚嗚...真琴小姐...,sad,Left,,,,,,,,
,,雫像是用眼神問我真的不能養嗎?一樣的表情看著我。,,,,,,,,,,
,Hero,嗚...好啦，反正我應該沒有影響。,,,,,,,,,,
,WolfGirl,喔！請多指教啦主人！,happy,Center,,,,,,,,
,JailerGirl,太好了！真琴小姐！,happy,,,,,,,,,
,Witch,好啦！剛我趁你們玩鬧確認食材都還很多。,happy,Right,,,,jump,,,,
,Witch,雫就跟我一起做些方便攜帶的食物吧！,happy,,,,,,,,,
,,語畢兩人各自在料理台開始料理。,,,,,,,,,,
,Witch,,normal,,,,,hide,,,,
,JailerGirl,,happy,,,,,hide,,,,
,,就在食材庫前面真琴對我勾了下手指。,,,,,,,,,,
,WolfGirl,主人！進來一下！,happy,Center,,,,,,,,
,Hero,嗯?怎麼了嗎?,,,,,,,,,,
END,,,,,,,,,,,,
