Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
event_03,,<往廚房的路上>,,,,,,,,bg_jail,,Bgm_Story1
,Hero,哇~還沒到就有股好香的味道！,,,,,,,,,,
,JailerGirl,應..應該是你太餓了的緣故...,normal,Right,,,,hide,,,,
,Witch,呵~不是錯覺喔♪,happy,Center,,,,,,,,
,,賽蕾絲說完後一陣黑影一閃而過。,,,,,,,,,,
,cookduck,......。,normal,Left,,,,run,,,,
,Hero,這...這是?烤鴨?,,,,,,,,,,
,Witch,要是我沒記錯，這應該魔物燒鴨。,normal,,,,,,,,,
,Witch,主要是調理時魔力殘留忘記處理而產生的暫時生命體。,normal,,,,,hide,,,,
,Hero,還有這樣的嗎！?,,,,,,,,,,
,cookduck,......。,normal,,,,,run,,,,
,cookduck,,normal,,,,,hide,,,,
,Hero,啊...跑走了....,,,,,,,,,,
,Choose,面對跑走的燒鴨你決定...,,,追上它將其抓住。|反正沒有威脅就這樣吧...,Skill|Good,,,,,,
,Hero,呼...呼呼...看我的！,,,,,,,,,Skill,
,,你一個飛撲將其抓住但用臉著地了。,,,,,,,BloodDiff_10,,,
,Hero,總算抓住了...味道不錯呢！,,,,,,,,,,
,,你吃得正歡時賽蕾絲走了過來。,,,,,,,,,,
,Witch,哎呀！這股波動是?,normal,Center,,,,,,,,
,Witch,少年先停一下♪,happy,,,,,bigCenter,,,,
,,賽蕾絲對著燒鴨注入魔力，隨即燒鴨肉又長了回來。,,,,,,,,,,
,Hero,嗚哇?怎麼長回來了?,,,,,,,,,,
,Witch,真幸運呢少年~,happy,,,,,,,,,
,Witch,這隻似乎有魔力核，只要注入魔力就會長回來。,normal,,,,,bigCenter_Off,,,,
,Hero,還有這等好事！？,,,,,,,playerskill_19,,,
END,,,,,,,,,,,,
,,在它經過時試著拉了下翅膀，但隨即撕裂開來。,,,,,,,,,Good,
,Hero,啊...掉了...,,,,,,,,,,
,,面對這誘人的香味你忍不住吃了起來。,,,,,,,BloodAdd_20,,,
,Hero,嗯！味道還不錯耶！,,,,,,,,,,
,Witch,啊啦♪跑走了嗎?,normal,Center,,,,,,,,
,Witch,真可惜呢...,sad,,,,,hide,,,,
,,賽蕾絲說著意義不明的話就繼續走了。,,,,,,,,,,
END,,,,,,,,,,,,
