ID,名稱,金幣,齒輪,血量,基礎骰數,招式,常駐Buff,等級,骰子面,圖片id(還沒用),出現章節
1,鴨子,30,1,30,3,1,,Zako,1|2|3,1,1
2,鴨鴨王,200,3,60,5,2|5,,Boss,0|1|2|3,1,1
3,火精靈,30,1,40,4,13,,Erito,0|1|2|3|4,1,1
4,水精靈,30,1,40,4,16,,Zako,0|3|4|5|6,1,1
5,偷摸零,60,1,60,3,107|106,,Erito,0|1|2|3|4|5|6,1,1
6,世紀大魔女,200,1,80,5,13|14|6,,Boss,1|2|3|4|5|6,1,1
7,巨人主廚,100,1,120,6,111|103,,Erito,0|1|2|3|4|5|6,1,1
8,邪惡泡泡,200,1,120,5,113|125,,Boss,0|1|2|3|4|5|6,1,1
9,狼女,250,1,240,3,114|110|101,19:0:0|13:0:0,Boss,0|1|2|3|4|5|6,1,1
10,鑽頭鴨,30,1,50,5,115|101,,Erito,0|1|2|3|4|5|6,1,1
11,鑽頭鴨鴨王,200,1,200,6,116|115|101,,Boss,0|1|2|3|4|5|6,1,1
12,獄卒,30,1,80,4,117|118,,Zako,0|1|2|3|4|5|6,1,1
13,副典獄長,300,1,150,5,122|103|121,,Boss,0|1|2|3|4|5|6,1,1
14,殭屍 獄卒,30,1,80,4,125|107,1:0:10,Erito,0|1|2|3|4|5|6,1,1
15,撲克士兵,60,1,80,5,112|124,,Zako,0|1|2|3|4|5|6,1,1
16,史萊姆,30,1,30,2,101,,Zako,0|1|2|3|4|5|6,1,1
17,魔物王史萊姆,300,1,300,10,129|128|130,,Boss,0|1|2|3|4|5|6,1,1
18,肥宅囚犯,30,1,60,3,107|106|101,,Erito,0|1|2|3|4|5|6,1,1
19,黑色劍客,160,1,200,6,131|122|101,,Boss,0|1|2|3|4|5|6,1,1
20,偶像,300,1,240,4,133|132|127,21:0:0,Boss,0|1|2|3|4|5|6,1,1
21,典獄長,1000,1,400,7,135|136|112,,Boss,0|1|2|3|4|5|6,1,1
