技能ID,名稱,技能類型,需求tpye,needDices,數值,條件文字,效果文字,SelfBuffs,TargetBuffs,Combo(怪物用) 破壞骰?,生成骰子,出處Tag,Price,IconPath,第 16 欄,第 17 欄,第 18 欄,第 19 欄,第 20 欄
1,衝撞,Attack,SameDices,2,20,相同×2,20點傷害,,,,,MajoShop,100,skill_1,,,,,
2,重擊,Attack,SameDices,3,40,相同×3,40點傷害,,,,,MajoShop,500,skill_2,,,,,
3,重踏,Attack,SameDices,4,60,相同×4,60點傷害,,,,,MajoShop,100,skill_3,,,,,
4,魔力擾亂,EnemyRollDice,ConsecutiveDices,2,,連續×2,敵方重骰,,,,,MajoShop,100,skill_4,,,,,
5,咕咕嘎嘎,Attack,ConsecutiveDices,3,,連續×3,敵方攻擊弱化兩回合,,8:0:1,,,MajoShop,300,skill_5,,,,,
6,防禦魔法,Buff,ConsecutiveDices,3,,連續x3 ,抵擋一次攻擊,9:1:0,,,,MajoShop,100,skill_6,,,,,
7,治癒術,Heal,ConsecutiveDices,3,50,連續x3 ,生命+50,,,,,MajoShop,,skill_7,,,,,
8,荊棘護甲,Buff,ConsecutiveDices,3,,連續x3 ,荊棘3回合，受攻擊時給予敵方傷害,15:0:3,,,,MajoShop,,skill_8,,,,,
9,魔力湧動,Buff,ConsecutiveDices,3,,連續x3,生成隨機骰，魔力增幅3回合,5:0:3,,,0|1|2|3|4|5|6|1,MajoShop,300,skill_9,,,,,
10,詛咒,DeBuff,ConsecutiveDices,4,,連續x4,敵方魔力衰弱3回合，隨機破壞2顆骰子,,6:0:3,2,,MajoShop,500,skill_10,,,,,
11,炎射術,Attack,ConsecutiveDices,5,100,連續×4,100點傷害，虛脫2回合,14:0:2,,,,MajoShop,,skill_11,,,,,
12,力量增幅,Buff,ConsecutiveDices,3,,連續x3,攻擊強化3回合,7:0:3,,,,MajoShop,100,skill_12,,,,,
13,火球術,Attack,SpecificDices,1|2|3,60,1・2・3,60點傷害,,,,,MajoShop,300,skill_13,,,,,
14,毒刺,Attack,SpecificDices,2|3|4,30,2・3・4,30點傷害，敵方中毒5回合,,1:0:5,,,MajoShop,,skill_14,,,,,
15,電球,Attack,SpecificDices,3|4|5,40,3・4・5,40點傷害，隨機破壞一顆骰子,,,1,,MajoShop,,skill_15,,,,,
16,水彈,Attack,SpecificDices,4|5|6,40,4・5・6,40點傷害，敵方攻擊弱化兩回合,,8:0:2,,,MajoShop,,skill_16,,,,,
17,不屈之心,Buff,SpecificDices,1|1,,1・1,魔力護盾，攻擊強化3回合,9:1:0|7:0:3,,,,MajoShop,,skill_17,,,,,
18,裁決之刃,Attack,SpecificDices,1|1|1,100,1・1・1,100點傷害,,,,,MajoShop,,skill_18,,,,,
19,幸運星,Attack,SpecificDices,2|2,30,2・2,30點傷害，生成星骰,,,,0|1,MajoShop,,skill_19,,,,,
20,老二極巨化,Buff,SpecificDices,2|2|2,,2・2・2,巨人化5回合,11:0:5,,,,MajoShop,,skill_20,,,,,
21,催眠術,DeBuff,SpecificDices,3|3,,3・3,敵方睡眠,,4:0:0,,,MajoShop,,skill_21,,,,,
22,大力三巴掌,Attack,SpecificDices,3|3|3,60,3・3・3,60點傷害，敵方暈眩,,3:0:1,,,MajoShop,,skill_22,,,,,
23,獵殺標記,Attack,SpecificDices,4|4,,4・4,撕裂4回合,,2:0:4,,,MajoShop,,skill_23,,,,,
24,魔力爪,Attack,SpecificDices,4|4|4,60,4・4・4,60點傷害，敵方撕裂1回合,,2:0:1,,,MajoShop,,skill_24,,,,,
25,弱點破壞,SpSkill,SpecificDices,5|5,40,5・5,造成40點傷害，如果敵方撕裂則造成100點傷害,,,,,MajoShop,,skill_25,,,,,
26,淤泥炮,Attack,SpecificDices,5|5|5,60,5・5・5,60點傷害，敵方中毒5回合,,1:05,,,MajoShop,,skill_26,,,,,
27,螺旋鑽,Attack,SpecificDices,6|6,40,6・6,造成40點傷害，敵方暈眩,,3:0:1,,,MajoShop,,skill_27,,,,,
28,星爆氣流斬,Attack,SpecificDices,6|6|6,60,6・6・6,60點傷害，生成3顆骰子，破壞敵方3顆骰子,,,3,0|1|2|3|4|5|6|3,Event,,skill_28,,,,,
29,自爆,Buff,AnyDices,5,,,定時炸彈5回合,16:0:5,,,,Event,,skill_29,,,,,
30,刺槍術,Attack,AnyDices,3,30,骰子×3,30點傷害，隨機獲得buff,,,,,MajoShop,,skill_30,,,,,
31,毒爆術,Attack,AnyDices,2,30,相同×2,消耗中毒狀態，造成30×剩餘回合傷害,,,,,Event,,skill_31,,,,,
32,美味燒鴨,Buff,AnyDices,3,,骰子×3,雙方治癒3回合,10:0:3,10:0:3,,,MajoShop,,skill_32,,,,,
