Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag
Prologue1_1,,<監獄某間牢房>,,,,,,,,jail,
,,康啷~康啷~,,,,,,,,,
,Hero,被關在這裡也有一陣子了。,normal,Center,,,,,,,
,Hero,快放我出去啊！,angry,,,,,,,,
,,這是一間監獄，環境潮濕又陰冷稱不上舒適。,,,,,,,,,
,,鐵欄杆有明顯鏽痕，但還是很牢固。,,,,,,,,,
,,我因為犯了男人都會犯的錯誤而來到這。,,,,,,,,,
,Hero,但只要我完成了這個，出去的日子指日可待！,happy,,,,,,,,
,Hero,可惜目前還差幾個零件...,sad,,,,,,,,
,Hero,到底要去哪找呢?,sad,Center,,,,,,,
,JailerGirl,那...那個...,normal,Center,,,,,,,
,Hero,嗯?,normal,,,,,,,,
,,眼前的是一位靦腆嬌小的獄卒少女，這一區的犯人都是交給她負責看管。,,,,,,,,,
,,這裡雖然是有魔法的世界，眼前的少女卻不擅長魔法而被派過來打雜。,,,,,,,,,
,,雖然有點內向，料理手藝卻不錯，可以說是被關進來後唯一值得欣慰的事。,,,,,,,,,
,JailerGirl,開...開飯了...,normal,Center,,,,,,,
,Hero,又到這時間了呀！肚子好餓。,happy,,,,,,,,
,,整棟監獄開始微微震動，但一下就減緩了。,,,,,shake,,,,
,JailerGirl,又...又來了嗎?,sad,,,,,run,,,
,Hero,最近地震真是頻繁。,normal,,,,,,,,
,JailerGirl,我去看看其他地方的狀況。,,Right,,,,,,,
,JailerGirl,你...你給我乖乖待在這！,sad,Right,,,,,,,
,JailerGirl,,normal,,,,,hide,,,
,Hero,最近這種小地震真是頻繁。,normal,,,,,,,,
,Hero,不知道有沒有機會震開鐵籠，這樣我就自由了！,happy,,,,,,,,
,,,,,,,shake,,,,
,Hero,哇！發生什麼事！？,,,,,,,,,
,,地面瘋狂震動，外並同時傳來嚎叫以及東西碰撞崩裂的聲音。,,,,,,,,,
,Hero,剛剛真是可怕。,sad,,,,,,,,
,Hero,嗯?門好像被震開了?,normal,,,,,,,,
,Hero,太神啦！這樣就能先出去了！,happy,,,,,,,,
,Hero,總之先出去看看情況吧。,happy,,,,,,,,
END,,,,,,,,,,,
