ID,Buff名稱,效果文(多語系要分出去),,,,
1,中毒,回合結束，生命-10,,,,
2,中毒Ex,回合結束，生命-20,,,,
3,撕裂,使用技能時，生命-20,,,,
4,暈眩,"無法攻擊,生成骰子",,,,
5,睡眠,無法行動，受到攻擊或回合開始機率甦醒,,,,
6,魔力增幅,生成骰子+1,,,,
7,魔力增幅Ex,生成骰子+2,,,,
8,魔力衰弱,生成骰子-1,,,,
9,魔力衰弱Ex,生成骰子-2,,,,
10,攻擊強化,傷害+20,,,,
11,攻擊強化Ex,傷害+40,,,,
12,攻擊弱化,傷害-20,,,,
13,攻擊弱化Ex,傷害-40,,,,
14,魔力護盾,抵擋攻擊的護盾,,,,
15,魔力護盾Ex,抵擋攻擊的護盾,,,,
16,治癒,回合結束時，生命+20,,,,
17,治癒Ex,回合結束時，生命+40,,,,
18,巨人化,最大生命+100,,,,
19,狼之怒,受傷時，獲得狂暴,,,,
20,狂暴,生成骰變為8,,,,
21,虛脫,生成骰變為1,,,,
22,尖刺,受傷時，敵方生命-20,,,,
23,定時炸彈,倒數結束時，生命-666,,,,
24,燃燒,回合結束，生命-30,,,,
25,吃飽就睡,生命+時，進入睡眠,,,,
26,解放,倒數結束時，獲得攻擊強化 Ex,,,,
27,麻痺,生成骰子點數上限變為 5,,,,
28,麻痺Ex,生成骰子點數上限變為 4,,,,
29,連擊,多發動一次攻擊,,,,//無使用 怪物好像直接用combo就好
