ID,名稱
1,Magic Missile
2,Lightning Strike
3,Lucky Strike
4,Arcane Impact
5,Flame Shot
6,Curse
7,Chain Lightning
8,Mana Control
9,Volt Attack
10,Thunder Blast
11,Defense Magic
12,Mana Surge
13,Rejuvenation
14,Emergency Heal
15,Sludge Cannon
16,Thorn Armor
17,Song of Life
18,Black Flame Shot
19,Delicious Roast Duck
20,Fireball
21,Water Orb
22,Stellar Blaze Cyclone Slash
23,Power Amplification
24,Mana Claw
25,Indomitable Heart
26,Magic Sword
27,Purify
28,Giant Form
29,Triple Slap
30,Power Triple Slap
31,Zili's Frenzied Flame
32,Thunder Lance
33,Hypnosis
34,Greater Heal
35,Chain Thunder
36,Infinite 666
101,Charge
102,Mad Drill Rush
103,Spiral Drill
104,Flame Bullet
105,Water Bullet
106,Dirty Little Hands
107,Gugu Gaga
108,Mana Surge
109,Mana Claw
110,Fireball
111,Kick
112,Heavy Stomp
113,Sludge Cannon
114,Claw Attack
115,Soulbreaker Iron Claw
