Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_Idol_14,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,,火堆將熄，只餘下里莎仍未入睡。,,,,,,,,,,
,,她今晚出奇的安靜，口球取下後一句髒話也沒有罵。,,,,,,,,,,
,Idol,...喂。,normal,Center,,,,,,,,
,Hero,還沒睡?,,,,,,,,,,
,Idol,睡不著。,normal,,,,,,,,,
,Idol,里莎醬可是要睡在柔軟的大床的♡,happy,,,,,,,,,
,Idol,...騙你的。,normal,,,,,,,,,
,,她抱起雙腿，將下巴擱在膝上。,,,,,,,,,,
,Hero,我可以問你一件事嗎?,,,,,,,,,,
,Idol,十金幣。,normal,,,,,,,,,
,Hero,又來?,,,,,,,,,,
,Idol,呵呵，開玩笑的♡,happy,,,,,,,,,
,Hero,那個...你為什麼這麼討厭本名?,,,,,,,,,,
,Idol,......。,sad,,,,,,,,,
,,你感覺到氣氛在一瞬間沉了下來。,,,,,,,,,,
,Choose,,,,還是別踩到她的線。|還是覺得那名字很好聽。,Skip|Nice,,,,,,
,Hero,我還是覺得【多惠子】很好聽啊。,,,,,,,,,Nice,
,Idol,你這傢伙...,angry,,,,,jump,,,,
,Idol,又來了...,sad,,,,,,,,,
,Idol,...你知道那是誰取的嗎?,normal,,,Name,,,Affinity_10,,,
,Hero,啊，不想講就算了。,,,,,,,,,Skip,
,Idol,...沒差。,normal,,,,,,,,,
,Idol,反正你早就知道了。,sad,,,,,,,,,
,Idol,那是我爸取的。,normal,,,,,,,,Name,
,Hero,咦?,,,,,,,,,,
,Idol,極東之地的名字，聽說是「有很多恩惠」的意思。,sad,,,,,,,,,
,Hero,那不是很好嗎?,,,,,,,,,,
,Idol,好個屁。,angry,,,,,,,,,
,Idol,那女人把我們趕出去的時候。,sad,,,,,,,,,
,Idol,她說「這種下賤的名字」。,angry,,,,,,,,,
,Idol,從那天開始，只要有人叫我多惠子...,sad,,,,,,,,,
,Idol,我就會想起她那個表情。,sad,,,,,,,,,
,,里莎的聲音很輕，輕得幾乎要被火聲掩去。,,,,,,,,,,
,Hero,所以你才要當偶像?,,,,,,,,,,
,Idol,對啊♡,happy,,,,,,,,,
,Idol,「里莎」是我自己選的名字。,normal,,,,,,,,,
,Idol,那個名字有很多人喜歡、很多人喊。,normal,,,,,,,,,
,Idol,只有那個，是我自己掙來的東西。,sad,,,,,,,,,
