Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_JailerGirl_15,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1,
,,整備室的角落，增幅裝置又發出了不安分的嗡鳴。,,,,,,,,,,,
,JailerGirl,呀！,scare,Center,,,shake,jump,,,,,
,,雫前方本該是一顆光球的東西，變成了亂竄的火星。,,,,,,,,,,,
,Hero,沒事吧!?,,,,,,,,,,,
,JailerGirl,對...對不起！我又搞砸了...,sad,,,,,,,,,,
,JailerGirl,明明都有裝置幫忙了，我還是...,sad,,,,,,,,,,
,Choose,,,,先講清楚那不是她的錯。|想知道她用起來是什麼感覺。,Fault|Feel,,,,,,,
,Hero,等等，那個不是你的問題。,,,,,,,,,Fault,,
,JailerGirl,咦?,scare,,,,,,,,,,
,Hero,材料還差一點，輸出功力本來就會亂跳。,,,,,,,,,,,
,Hero,就像我一開始就跟你說過會有點隨機性。,,,,,,,,,,,
,JailerGirl,可...可是換別人用一定不會這樣...,sad,,,,,,,,,,
,Hero,沒有別人，你是第一個。,,,,,,,,,,,
,JailerGirl,......。,normal,,,,,,,,,,
,JailerGirl,那...那我算是特別的嗎?,shy,,,,,,,,,,
,Hero,算吧。,,,,,,,,,,,
,JailerGirl,嗚...,shy,,,Hand,,,Affinity_20,,,,
,Hero,話說用起來是什麼感覺?,,,,,,,,,Feel,,
,JailerGirl,感覺...?,normal,,,,,,,,,,
,Hero,就跟你自己施法比起來如何?,,,,,,,,,,,
,JailerGirl,唔...很難形容...,normal,,,,,,Affinity_10,,,,
,JailerGirl,就...魔力要跑掉的時候。,normal,,,,,,,,Hand,,
,JailerGirl,會有一股力量幫我拉回來。,normal,,,,,,,,,,
,JailerGirl,好像...有人在旁邊扶著我的手一樣。,shy,,,,,,,,,,
,Hero,......。,,,,,,,,,,,
,,你一時之間答不上話。,,,,,,,,,,,
,JailerGirl,那...那個。,normal,,,,,,,,,,
,JailerGirl,我一直想問...,sad,,,,,,,,,,
,JailerGirl,裡面的魔力，是你的對吧?,sad,,,,,,,,,,
,Hero,嗯，是我積蓄到現在一輩子份的。,,,,,,,,,,,
,JailerGirl,......。,scare,,,,,,,,,,
,,她低頭看著手中的裝置，像是突然發現自己捧著什麼滾燙的東西。,,,,,,,,,,,
,JailerGirl,那我每次用它...,sad,,,,,,,,,,
,JailerGirl,是不是就在用掉你的人生?,sad,,,,,,,,,,
,Hero,......。,,,,,,,,,,,
,Choose,,,,那不叫用掉|開個玩笑帶過就好,Use|Joke,,,,,,,
,Hero,那不叫用掉。,,,,,,,,,Use,,
,Hero,放著不用才叫浪費吧?,,,,,,,,,,,
,JailerGirl,可是...,sad,,,,,,,,,,
,Hero,我做這東西本來就是要給人用的啊。,,,,,,,,,,,
,Hero,現在真的有人在用，我高興都來不及了。,,,,,,,,,,,
,JailerGirl,......。,normal,,,,,,,,,,
,,她把裝置抱在懷裡，抱得很緊。,,,,,,,,,,,
,JailerGirl,那我不可以再搞砸了。,normal,,,,,,,,,,
,Hero,搞砸幾次都沒關係啦。,,,,,,,,,,,
,JailerGirl,不行！,angry,,,,,bigCenter,,,,,
,,這是她第一次，用這麼大的聲音反駁你。,,,,,,,,,,,
,JailerGirl,因為這是你的一輩子...,shy,,,,,,,,,,
,JailerGirl,我要練到...配得上它才行。,shy,,,,,bigCenter_Off,Affinity_30,,,,
,Hero,那我等著看。,,,,,,,,,,,
,JailerGirl,嗯！,happy,,,,,jump,,,,,
,,那天之後，她握著那個裝置的方式，明顯不一樣了。,,,,,,,,,,,
END,,,,,,,,,,,,,
,Hero,想那麼多幹嘛，反正我也用不到了。,,,,,,,,,Joke,,
,JailerGirl,......。,sad,,,,,,,,,,
,Hero,欸?怎麼了?,,,,,,,,,,,
,JailerGirl,...你不要那樣講。,sad,,,,,bigCenter,,,,,
,JailerGirl,那...那是你很重要的東西耶...,sad,,,,,bigCenter_Off,,,,,
,Hero,抱歉...我開玩笑的。,,,,,,,,,,,
,JailerGirl,嗯...,sad,,,,,,Affinity_10,,,,
,,她沒有再說什麼，只是把裝置擦了又擦。,,,,,,,,,,,
,,那份小心翼翼，比任何一句責備都要來得重。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
