Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_Witch_13,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,,賽蕾絲從行囊中取出一本厚重的書，翻閱了起來。,,,,,,,,,,
,Hero,這種時候還看書?,,,,,,,,,,
,Witch,習慣了♪,normal,Center,,,,,,,,
,,你湊上前去，書頁之上卻是一片空白。,,,,,,,,,,
,Hero,咦?這是白紙?,,,,,,,,,,
,Witch,對你來說是♪,happy,,,,,,,,,
,Witch,這是用魔力刻的字，要用感知才讀得到。,normal,,,,,,,,,
,Hero,好厲害...這是你家的東西嗎?,,,,,,,,,,
,Witch,是啊，多明尼加家的藏書。,normal,,,,,,,,,
,Witch,我可是那裡的嫡長女呦♪,happy,,,,,,,,,
,Choose,,,,忍不住想問她的來歷|比起罪名，更在意她的家人,Why|Family,,,,,,
,Hero,這種大小姐怎麼會跑來蹲監獄?,,,,,,,,,Why,
,Witch,呵♪這個問題有點沒禮貌呢。,happy,,,,,,,,,
,Hero,抱...抱歉。,,,,,,,,,,
,Witch,不過沒關係，反正是事實。,normal,,,Book,,,,,,
,Hero,話說...家人有來看過你嗎?,,,,,,,,,Family,
,Witch,......。,normal,,,,,,,,,
,Witch,沒有呦♪一次也沒有。,happy,,,,,,,,,
,Hero,一次都沒有!?,,,,,,,,,,
,Witch,對名門來說，出了罪人是要抹掉的呦。,normal,,,,,,,,,
,Witch,我的名字大概早就從族譜上刮掉了♪,happy,,,,,,Affinity_10,,,
,,她說得極為輕鬆，輕鬆到令人不忍。,,,,,,,,,,
,Hero,那你不會恨他們嗎?,,,,,,,,,Book,
,Witch,不會呢。,normal,,,,,,,,,
,Witch,是我自己犯的錯，規矩就是規矩。,normal,,,,,,,,,
,Witch,逃避責任的人，我最討厭了。,sad,,,,,,,,,
,Hero,連自己也一樣嗎...,,,,,,,,,,
,Witch,尤其是自己♪,happy,,,,,,,,,
,,火光在她的眼罩上晃動了一瞬。,,,,,,,,,,
,Hero,那...這本書呢?也是家裡的吧?,,,,,,,,,,
,Witch,這本是我自己偷渡進來的。,normal,,,,,,,,,
,Witch,因為...裡面有插圖。,shy,,,,,,,,,
,Hero,插圖?可是你看不見...,,,,,,,,,,
,Witch,魔力刻的插圖，也是摸得出來的呦♪,happy,,,,,jump,,,,
,Witch,你看，這一頁是一隻小貓。,happy,,,,,,,,,
,,賽蕾絲將書湊了過來，指尖輕輕描摹著那片空白。,,,,,,,,,,
,,她此刻的神情，是這幾日來最柔和的一次。,,,,,,,,,,
,Choose,,,,好像看到了不得了的一面|調侃她一下應該還好吧,Cute|Rude,,,,,,
,Hero,你其實很喜歡可愛的東西呢。,,,,,,,,,Cute,
,Witch,!?,shy,,,,,jump,,,,
,Witch,...被發現了呢。,normal,,,,,,,,,
,Witch,因為「可愛」是不用眼睛也能懂的東西♪,happy,,,,,,,,,
,Witch,圓圓的、軟軟的，摸起來就知道了。,normal,,,,,,,,,
,Hero,原來如此。,,,,,,,,,,
,Witch,所以少年也很可愛呦♪,happy,,,,,,Affinity_30,,,
,Hero,我又不是圓的！,,,,,,,,,,
,,賽蕾絲笑得雙肩微顫。,,,,,,,,,,
,,那本空白的書，一直翻到火光將熄。,,,,,,,,,,
END,,,,,,,,,,,,
,Hero,名門大小姐看這種童書?,,,,,,,,,Rude,
,Witch,......。,sad,,,,,,,,,
,,賽蕾絲默默地將書闔上了。,,,,,,,,,,
,Witch,是啊，很幼稚呢。,normal,,,,,,,,,
,Hero,不...我不是那個意思...,,,,,,,,,,
,Witch,沒關係呦♪,happy,,,,,,,,,
,,那樣的笑容，比動怒還要教人難受。,,,,,,,,,,
,,此後，她再未曾在你面前翻開過那本書。,,,,,,,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
