Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_WolfGirl_11,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,,真琴蹲踞在火堆旁，以樹枝翻動著烤肉。,,,,,,,,,,
,WolfGirl,主人！要吃嗎?,happy,Center,,,,jump,,,,
,Hero,謝啦...話說。,,,,,,,,,,
,Hero,這個「主人」是一定要叫的嗎?,,,,,,,,,,
,WolfGirl,咦!?我叫得不好聽嗎?,scare,,,,,jump,,,,
,Hero,不是啦，只是聽起來怪怪的...,,,,,,,,,,
,WolfGirl,這是族裡的規矩！,normal,,,,,,,,,
,WolfGirl,堂堂正正輸給對方，就要承認人家比自己強！,happy,,,,,,,,,
,Choose,,,,試探一下這規矩的底線|總覺得這樣對她不公平,Order|Fair,,,,,,
,Hero,那我叫你做什麼都可以囉?,,,,,,,,,Order,
,WolfGirl,才不是！,angry,,,,,jump,,,,
,,真琴的雙耳瞬間豎了起來。,,,,,,,,,,
,WolfGirl,「主人」不是主僕的意思！,angry,,,,,,,,,
,WolfGirl,是「這傢伙值得我把背後交給他」的意思。,normal,,,,,,,,,
,WolfGirl,要是叫我去欺負弱小，我第一個咬的就是你。,sad,,,,,,,,,
,Hero,抱...抱歉！我開玩笑的！,,,,,,,,,,
,WolfGirl,哼。,normal,,,,,,,,,
,,真琴將烤肉往你嘴裡一塞，力道大得險些將你噎死。,,,,Pact,,,,,,
,Hero,可是這樣我不就白賺了嗎?,,,,,,,,,Fair,
,WolfGirl,主人真奇怪！,happy,,,,,jump,,,,
,WolfGirl,我認可你，是我自己決定的啊。,normal,,,,,,,,,
,WolfGirl,又不是你逼我的，哪來的佔便宜?,happy,,,,,,Affinity_20,,,
,Hero,這麼一說也是...,,,,,,,,,,
,Hero,那我也有話要說。,,,,,,,,,Pact,
,WolfGirl,嗯?,normal,,,,,,,,,
,Hero,既然是把背後交給對方...,,,,,,,,,,
,Hero,那我的背後，也交給你了。,,,,,,,,,,
,WolfGirl,咦!?,scare,,,,,jump,,,,
,Hero,這樣才公平吧?,,,,,,,,,,
,WolfGirl,......。,normal,,,,,,,,,
,,真琴怔住了，手中的樹枝落入火中亦渾然未覺。,,,,,,,,,,
,WolfGirl,主人你...你知道這句話的意思嗎...,shy,,,,,,,,,
,Hero,就是互相照應啊?,,,,,,,,,,
,WolfGirl,對族裡來說，這是要一起活到最後的意思！,happy,,,,,jump,,,,
,Hero,那不是正好?,,,,,,,,,,
,Choose,,,,這種約定，答應也無妨|聽起來好像很麻煩,Together|Cancel,,,,,,
,Hero,反正我們本來就要一起出去啊。,,,,,,,,,Together,
,WolfGirl,嗷嗚——！,happy,,,,,jump,Affinity_30,,,
,,真琴仰首長嚎一聲，響徹了整座整備室。,,,,,,,,,,
,JailerGirl,呀！怎...怎麼了嗎!?,scare,Left,,,,jump,,,,
,Witch,啊啦♪有人求婚成功了呢~,happy,Right,,,,,,,,
,Hero,才不是那樣！,,,,,,,,,,
,WolfGirl,差不多啦！,happy,Center,,,,,,,,
,Hero,差很多吧!?,,,,,,,,,,
,,那一夜，真琴的尾巴始終未曾停歇。,,,,,,,,,,
END,,,,,,,,,,,,
,Hero,聽起來很麻煩，還是算了吧。,,,,,,,,,Cancel,
,WolfGirl,......。,sad,,,,,,,,,
,,真琴的雙耳緩緩垂了下去。,,,,,,,,,,
,WolfGirl,我知道了。,normal,,,,,,,,,
,WolfGirl,那主人的背後，我自己顧就好！,happy,,,,,,,,,
,Hero,欸?不是...,,,,,,,,,,
,,話雖如此，她的尾巴卻整夜垂落在地。,,,,,,,,,,
,,看來狼，終究是不擅掩飾情緒的生物。,,,,,,,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
