Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
idolH_1,,你緩步靠近里莎。,,,,,,,,bg_jail,,,,,,,,,,,,,,,
,,堅硬的拳頭高舉半空，此時你的拳頭儼然不是拳頭。,,,,,,,,,,,,,,,,,,,,,,,
,,是代表台下肥宅的法槌！,,,,,,,,,,,,,,,,,,,,,,,
,Idol,你...你要幹嘛！?,scare,Center,,,,,,,,,,,,,,,,,,,,,
,Idol,像你這樣講不贏就動手的男生最沒品了！,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,不...不要過來！,angry,,,,,,,,,,,,,,,,,,,,,,
,,你逐步靠近砂鍋大的拳頭重重落下。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,這一拳是替你所有粉絲打的！,,,,,,,,,,,,,,,,,,,,,,,
,Idol,咕...嗚...,scare,,,,shake,hit,,,,,,,,,,,,,,,,,
,,"""碰""！里莎順勢噴飛出去撞到玻璃。",,,,,,,,,,,,,,,,,,,,,,,
,fatguy,什麼聲音?那邊發生什麼事了?,,,,,,,,,,,,,,,,,,,,,,,
,,將里莎制伏後腦中的嘲諷依舊使你耿耿於懷。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,我要讓你痛徹心扉！,,,,,,,,,,,,,,,,,,,,,,,
,,你決定用對偶像使用最痛苦的懲罰。,,,,,,,,,,,,,,,,,,,,,,,
,,將褲子順勢脫下露出了最堅挺的部位。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,呀！,shy,Left,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,為...為什麼要脫褲子?,shy,,,,,hide,,,,,,,,,,,,,,,,,
,,雫害羞的雙手摀住眼睛但留有一點縫隙。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,你...你想做什麼！?,scare,,,,,,,,,,,,,,,,,,,,,,
,Hero,等等就知道了...,,,,,,,,,,,,,,,,,,,,,,,
,,暴力的扯開里莎的衣物，將她抱於前方。,,,,,,,Spine_idolH_01.prefab,bg_idol_H,,,,,,,,,,,,,,,
,,里莎雙腿懸空，胸前露出兩顆碩大的果實。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,你...你難道是想...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,不...不要阿！,,,,,,,,,,,,,,,,,,,,,,,
,Hero,閉嘴！,,,,,,,,,,,,,,,,,,,,,,,
,,粗壯的肉棒在里莎前面晃了晃。,,,,,,,SpineSpeed_1.5,,,,,,,,,,,,,,,,
,Idol,有...有話好說...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,我道歉！道歉還不行嗎?,,,,,,,,,,,,,,,,,,,,,,,
,Hero,太遲了！,,,,,,,,,,,,,,,,,,,,,,,
,,挺立的肉棒撐開里莎粉嫩的小穴。,,,,,,,SpineAnim_B,,,,,,,,,,,,,,,,
,Idol,嗯...哈...,,,,,,,SpineSpeed_1.2,,,,,,,,,,,,,,,,
,Idol,你...你竟然真的...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,嗚...嗚嗚嗚...,,,,,,,,,,,,,,,,,,,,,,,
,Hero,哈...雖然你這件女人嘴巴臭了點...,,,,,,,,,,,,,,,,,,,,,,,
,Hero,但單論小穴你確實稱得上是一流！,,,,,,,,,,,,,,,,,,,,,,,
,Idol,閉...閉嘴！你這強姦犯！,,,,,,,,,,,,,,,,,,,,,,,
,Hero,嘴還是這麼臭...,,,,,,,,,,,,,,,,,,,,,,,
,Hero,那我要讓你的粉絲聽聽你這糗態！,,,,,,,,,,,,,,,,,,,,,,,
,,你將里莎身旁的麥克風打開。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,白！不...不要！,,,,,,,SpineAnim_C,,,,,,,,,,,,,,,,
,Idol,嗯♡,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,嗯?這是什麼聲音?,,,,,,,,,,,,,,,,,,,,,,,
,,你壓低聲音在里莎耳邊呢喃。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,我要加速囉?,,,,,,,,,,,,,,,,,,,,,,,
,Idol,哈♡~嗯♡~,,,,,,,SpineSpeed_1.5,,,,,,,,,,,,,,,,
,Idol,不♡嗯♡~,,,,,,,,,,,,,,,,,,,,,,,
,,里莎拼命忍耐，但聲音依然漏了出來。,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,里莎醬你還好嗎?,,,,,,,,,,,,,,,,,,,,,,,
,Witch,啊啦♪真會玩呢♪,,,,,,,,,,,,,,,,,,,,,,,
,Hero,里莎我快要去了！,,,,,,,,,,,,,,,,,,,,,,,
,Idol,去♡去什麼?,,,,,,,,,,,,,,,,,,,,,,,
,Idol,不要！你該不會是要！,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,里莎醬！?,,,,,,,,,,,,,,,,,,,,,,,
,,滾燙的液體瘋狂注入里莎的小穴。,,,,,,,SpineSpeed_1,,Sfx_Shot,,,,,,,,,,,,,,
,Idol,啊...啊嗯♡,,,,,,,,,,,,,,,,,,,,,,,
,Idol,哈♡,,,,,,,SpineAnim_D,,,,,,,,,,,,,,,,
,Hero,呼....,,,,,,,,,,,,,,,,,,,,,,,
,Hero,現在你知道錯了吧！,,,,,,,,,,,,,,,,,,,,,,,
,,此時的里莎受不了刺激暈了過去。,,,,,,,,,,,,,,,,,,,,,,,
,,隨著里莎暈倒魔術鏡像時間到了一般升了上去。,,,,,,,,,,,,,,,,,,,,,,,
,,里莎如同奶油泡芙呈現在粉絲的面前。,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,里莎醬！,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,你竟然在後台做這種事！,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,嗚...嗚嗚...退錢賤婊子！,,,,,,,Spine_idolH_01.prefab,bg_jail,,,,,,,,,,,,,,,
,,隨著台下觀眾的暴動你發覺是時候該跑了。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,好了！我們趁現在快跑吧！,,,,,,,,,,,,,,,,,,,,,,,
,,雫此時才回神過來。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,阿！好！,scare,Center,,,,,,,,,,,,,,,,,,,,,
,Hero,真琴來幫我一下！,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,汪~,happy,Right,,,,jump,,,,,,,,,,,,,,,,,
,,一陣破壞後出口已經可以通過。,,,,,shake,,,,,,,,,,,,,,,,,,
,Hero,呼....我們走吧~,,,,,,,,,,,,,,,,,,,,,,,
,,眼看著里莎要被暴徒們包圍，你實在是於心不忍。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,......。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,我們還是帶她走吧...,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,她是壞女人不要啦！,sad,,,,,jump,,,,,,,,,,,,,,,,,
