Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
Prologue4_3,,<中央大廳>,,,,,,,,,,,,,,,,,,,,,,,
,,推開沉重的鐵門，眼前的景象讓所有人愣在原地。,,,,,,,,,,,,,,,,,,,,,,,
,,偌大的中央大廳被改裝成臨時舞台，五光十色的燈光打在正中央。,,,,,,,,,,,,,,,,,,,,,,,
,,台上貌似有個女性的身影在上面唱跳，整個大廳被音樂所環繞。,,,,,,,,,,,,,,,,,,,,,,,
,,而舞台下，擠滿了密密麻麻、隨著節奏瘋狂搖擺的人群。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,這是什麼情況？,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,這...這好像是演唱會...？,normal,Center,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,嗷...好濃的汗味...全擠在前面那塊了...,sad,Left,,,,jump,,,,,,,,,,,,,,,,,
,WolfGirl,噁...歐...,scare,,,,,,,,,,,,,,,,,,,,,,
,,真琴吐了。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,沒...沒事吧...,scare,,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,先用這手帕塞住鼻子應該會好點...,happy,,,,,hide,,,,,,,,,,,,,,,,,
,WolfGirl,謝...謝了小不點...,happy,,,,,hide,,,,,,,,,,,,,,,,,
,Witch,啊啦~ 想過去的話，得先穿過這群觀眾呢♪,normal,Center,,,,,,,,,,,,,,,,,,,,,
,Hero,雖然辛苦真琴，但也沒辦法了...,,,,,,,,,,,,,,,,,,,,,,,
,,一行人開始為突破人牆而努力。,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
