Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue5_3,,<北側動力室>,,,,,,,,bg_jail,,
,,學姐的身體重重倒在爐前。,,,,,,,,,,
,Zombie,啊...,sad,Center,,,,,,,,
,,她身上的魔力像燒完的柴火，一點一點散掉。,,,,,,,,,,
,Zombie,...雫醬?,normal,,,,,,,,,
,JailerGirl,學姐!?,scare,Right,,,,run,,,,
,Witch,魔力退乾淨了，她暫時是清醒的…,sad,Left,,,,,,,,
,Witch,不過，也只剩這一下子了。,normal,,,,,,,,,
,JailerGirl,對不起！學姐對不起！,sad,,,,,jump,,,,
,JailerGirl,那天...我丟下你自己跑了...,sad,,,,,,,,,
,Zombie,笨蛋。,happy,,,,,,,,,
,Zombie,是我叫你跑的啊。,happy,,,,,,,,,
,JailerGirl,可是——,sad,,,,,,,,,
,Zombie,你活下來了。,happy,,,,,,,,,
,Zombie,那我就沒有白白犧牲。,happy,,,,,,,,,
,,學姐伸出手想摸雫的頭，卻在半空停住。,,,,,,,,,,
,Zombie,啊...不行，手太髒了。,sad,,,,,,,,,
,JailerGirl,才不髒！,sad,,,,,jump,,,,
,,雫抓住那隻手，按在自己頭上。,,,,,,,,,,
,Zombie,...嗯。,happy,,,,,,,,,
,Zombie,對了，閘門的總開關在監控室。,normal,,,,,,,,,
,Zombie,兩座爐都點起來以後，去那裡。,normal,,,,,,,,,
,Zombie,還有...這個給你。,sad,,,,,,,,,
,,學姐把胸口的獄卒徽章解下來，放進雫的手心。,,,,,,,,,,
,Zombie,要好好活下去…直到最後。,happy,,,,,,,,,
,JailerGirl,...嗯！,sad,,,,,jump,,,,
,,說完，她的身影散成了光。,,,,,shootWhite,,,,,
,Zombie,,happy,,,,,hide,,,,
,,動力室裡安靜得只剩下爐子的低鳴。,,,,,,,,,,
,JailerGirl,...,sad,Center,,,,,,,,
,,雫握著徽章，肩膀一直在抖。,,,,,,,,,,
,Choose,,,,什麼都不說，走過去拍拍她的頭。|先啟動爐子吧，時間不多了。,Head|Hurry,,,,,,
,,你走過去，把手放在她頭上。,,,,,,,,,Head,
,JailerGirl,...,sad,,,,,,,,,
,Hero,哭完再走。我等你。,,,,,,,,,,
,JailerGirl,嗚...,sad,,,,,jump,,,,
,JailerGirl,嗚哇啊啊啊——,sad,,,,,,,,,
,,她把臉埋進你胸口，哭得像個小孩。,,,,,,,Affinity_10,,,
,Witch,……,normal,,,,,hide,,,,
,WolfGirl,主人...,sad,Left,,,,,,,,
,Witch,噓♪,happy,Right,,,,hide,,,,
,,角落的粽子突然安靜了下來。,,,,,,,,,,
,,繩結鬆了一角，口球和眼罩一起掉在地上。,,,,,,,,,,
,Idol_Sp,...嘖。,normal,Right,,,,,,,,
,Idol_Sp,我才沒有覺得感動喔。,sad,,,,,,,,,
,WolfGirl,嗷。,normal,Left,,,,hide,,,,
,,真琴面無表情地把口球和眼罩裝了回去。,,,,,,,,,,
,Idol_Sp,唔唔唔！！,sm,,,Fire,,jump,,,,
,Hero,...爐子。先把爐子點起來吧，時間不多了。,,,,,,,,,Hurry,
,JailerGirl,...,sad,,,,,,,,,
,JailerGirl,好。,sad,,,,,,,,,
,,她用袖子抹了抹臉，什麼也沒再說。,,,,,,,,,,
,Idol_Sp,,sm,,,,,hide,,,,
,Witch,啊啦♪ 小弟弟，你剛剛錯過了一個很重要的瞬間喔♪,normal,Right,,,,hide,,,,
,Hero,咦?,,,,,,,,,,
,,雫走到爐心前，把手貼上控制盤。,,,,,,,,,Fire,
,JailerGirl,魔力迴路...接通。,normal,Center,,,,,,,,
,,沉睡的魔力爐發出低鳴，爐心亮起橘紅色的光。,,,,,shake,,,,,
,,天花板上的壁燈，一盞接著一盞亮了起來。,,,,,,,,,,
,Hero,成功了！,,,,,,,,,,
,,爐座旁滾出幾枚被震落的齒輪。,,,,,,,GearAdd_3,,,
,Hero,喔喔！這個我要！,,,,,,,,,,
,Idol_Sp,唔唔唔！,sm,Right,,,,jump,,,,
,Witch,她說『那個看起來很值錢』喔♪,happy,Left,,,,,,,,
,Hero,你聽得懂?,,,,,,,,,,
,Witch,猜的♪,happy,,,,,hide,,,,
,WolfGirl,嗷!南邊還有一個對吧?,happy,Left,,,,jump,,,,
,JailerGirl,嗯。走吧…,normal,Center,,,,,,,,
,JailerGirl,我來帶路。,happy,,,,,jump,,,,
,,雫的神情多了幾分堅毅。,,,,,,,,,,
END,,,,,,,,,,,,
