Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
event_13,,<中央大廳 角落>,,,,,,,,bg_jail,,Bgm_Story1,
,WolfGirl,嗷...不行了啦...這裡的味道...,sad,Center,,,,,,,,,
,,真琴摀著鼻子，尾巴垂得比誰都低。,,,,,,,,,,,
,Hero,再撐一下啦，穿過去就好了。,,,,,,,,,,,
,,這時你注意到牆邊有個一直在送風的通風口。,,,,,,,,,,,
,Choose,,,,讓真琴去通風口喘口氣。|拉著她一鼓作氣衝過去。,Good|Bad,,,,,,,
,Hero,去那邊吸口氣吧，也不差這幾分鐘。,,,,,,,,,Good,,
,WolfGirl,嗷嗚！主人萬歲！,happy,,,,,jump,,,,,
,,真琴整張臉埋進通風口。,,,,,,,,,,,
,WolfGirl,嗯?這股味道...,normal,,,,,,,,,,
,,真琴一臉疑惑繼續聞著。,,,,,,,,,,,
,Hero,怎麼了?,,,,,,,,,,,
,WolfGirl,嗷?沒有啦~大門吹來的風裡有一股熟人的味道。,normal,,,,,,,,,,
,Hero,這監獄這麼多人有點味道也是難免的。,,,,,,,,,,,
,WolfGirl,是這樣嗎?,normal,,,,,,,,,,
,WolfGirl,如果是主人說的話一定沒錯！嗷嗚,happy,,,,,jump,,,,,
END,,,,,,,,,,,,,
,Hero,忍一下啦！衝過去就沒事了！,,,,,,,,,Bad,,
,WolfGirl,嗷嗚嗚...,sad,,,,,run,,,,,
,,你拉著真琴硬是擠進了人群。,,,,,,,,,,,
,,走到一半她整個人軟掉，你只好把她扛到背上。,,,,,,,,,,,
,Hero,你...你怎麼比看起來重那麼多...,,,,,,,,,,,
,WolfGirl,嗷...哪...哪有...,shy,,,,,jump,,,,,
,,你無法承擔她的重量跌倒了。,,,,,,,BloodDiff_10,,,,
,,就這樣扛著一頭狼邊跌倒邊走完剩下的路。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
