技能ID,名稱,技能類型,需求tpye,needDices,數值,條件文字,效果文字,SelfBuffs,TargetBuffs,Combo
101,啄擊,Attack,DiceSum,5,10,5⬆,造成10點傷害,,,
102,瘋狂亂啄,Attack,DiceSum,10,10,10⬆,造成10點傷害，再骰一次,,,1
103,GG螺旋鑽,Attack,DiceSum,15,30,15⬆,造成30點傷害,,,
104,火球術,Attack,DiceSum,10,60,10⬆,造成60點傷害,,,
105,水彈,Attack,DiceSum,10,30,10⬆,造成30點傷害，敵方攻擊弱化3回合,,12:0:3,
106,不乾淨小手,Attack,DiceSum,8,10,8⬆,10點傷害，敵方中毒3回合,,1:0:3,
107,咕咕嘎嘎,Attack,DiceSum,12,30,12⬆,造成30點傷害,,,
108,魔力湧動,Buff,DiceSum,8,,8⬆,魔力增幅5回合,6:0:3,,
109,魔力爪,Attack,DiceSum,16,20,16⬆,20點傷害，敵方撕裂1回合,,3:0:1,
110,火球術,Attack,DiceSum,22,60,22⬆,造成60點傷害,,,
